"","ï..","Search","Title","Location","Company","Salary","Summary","Post_Date","Link","description"
"57",56,"Business Analyst","SAP Business Analyst","Melbourne VIC","Precision Sourcing","$700 - $950 a day","None","16 days ago","https://www.indeed.com/rc/clk?jk=4629846c8d745341&fccid=55726a78e88700f9&vjs=3","
                try {
                    window.mosaic.onMosaicApiReady(function() {
                        var zoneId = 'aboveFullJobDescription';
                        var providers = window.mosaic.zonedProviders[zoneId];

                        if (providers) {
                            providers.filter(function(p) { return window.mosaic.lazyFns[p]; }).forEach(function(p) {
                                return window.mosaic.api.loadProvider(p);
                            });
                        }
                    });
                 } catch (e) {};
                April 23, 2020
Role: SAP Business Analyst

Contract length: Start date – 20 Dec 2020

Location: Melbourne

Rate: $700 – $950 per day

Role and Responsibilities:
The Analyst will work closely with the People and Culture and Information Services teams leading the SAP techno-functional experience including end-to-end implementation and support for SAP ECC software solutions; experience should encompass business requirements, solution design, system configuration, and quality assurance on the SAP platform.
Work and consult closely with a range of key stakeholders
Create and form a link between business processes and systems, change management, communication and acceptance from the end user/business communication
Assist the team in Human Capital Management, SuccessFactors, Workforce Software, Integration with SAP ECC and S/4HANA, Payroll and Benefits, HANA Cloud Integration/API Interfaces
Required Skills:
5+ years experience in SAP Business Analysis
Experience in SAP S/4HANA highly desirable
Experience in SuccessFactors highly desirable
Excellent communication skills
Excellent key stakeholder management and engagement skills
Please APPLY NOW with a Word version of your resume.

For further information call Sara de Cruz on 02 8246 7723
                try {
                    window.mosaic.onMosaicApiReady(function() {
                        var zoneId = 'belowFullJobDescription';
                        var providers = window.mosaic.zonedProviders[zoneId];

                        if (providers) {
                            providers.filter(function(p) { return window.mosaic.lazyFns[p]; }).forEach(function(p) {
                                return window.mosaic.api.loadProvider(p);
                            });
                        }
                    });
                 } catch (e) {};
                "
"58",57,"Business Analyst","Master Data Analyst - 6 Month Fixed Term Contract","Melbourne VIC","Danone","None","None","6 days ago","https://www.indeed.com/rc/clk?jk=ae4ca519bd6ba783&fccid=1d449a8e14af7cf3&vjs=3","
                try {
                    window.mosaic.onMosaicApiReady(function() {
                        var zoneId = 'aboveFullJobDescription';
                        var providers = window.mosaic.zonedProviders[zoneId];

                        if (providers) {
                            providers.filter(function(p) { return window.mosaic.lazyFns[p]; }).forEach(function(p) {
                                return window.mosaic.api.loadProvider(p);
                            });
                        }
                    });
                 } catch (e) {};
                Danone is looking for a Master Data Analyst to ensure data quality, compliance and operating procedures with previous experience working with SAP.

At Danone, we believe that data driven decisions are the foundation of sustainable business growth. We have an exciting opportunity for a Master Data Analyst to join our SUPPLY CHAIN TEAM. You will thrive working independently in an entrepreneurial environment, enjoy translating actionable data insights to drive profitable growth.
Your responsibilities will include (but are not limited to):
Execute changes to SAP master data (e.g. Customer, Vendor, Materials, Pricing etc.) as approved by the business as well as master data set up, validations and periodic maintenance.
 Perform regular business-related activities such as price and contracts updates, approval schemes and mass updates as well as troubleshooting to resolve any master data issues.
 Participate in projects, new product developments and initiatives across multiple functional areas and regions.
Ensure data quality, compliance and consistency of master data across business systems.
Assist business process experts in defining standard operating procedures, process flows and related documentation
Perform monthly reporting for Quality checks and Audit purposes.
ABOUT YOU:
Working closely with Finance & Supply Chain team, you will ensure data quality, compliance and operating procedures. You will have demonstrable experience managing a SAP system and feel confident interpreting data to provide valuable insights to the business.
Ideally you will have:
Preferable previous background working in FMCG industry or Pharmaceutical industry
Mandatory Previous knowledge of SAP at User/Master Data Management level
Strong MS Excel skills
Process driven and accountable with the ability to work in an agile way to meet deadlines and manage project pieces of work
Set up processes
ABOUT US
Danone’s mission is Bringing health through food to as many people as possible and we want to invite people to join the movement for a healthier world. We recognize the power people have to impact the world through their daily choices. Each time we eat and drink, we vote for the world we want to live in. We believe a healthy body needs healthy food. And healthy food needs a healthy planet and this is what our new signature One Planet One Health embodies. (LINK TO YOUTUBE VIDEO: https://youtu.be/0wBhigOz_ic)
WE OFFER
If you would love to join a global company with a strong health mission who is committed to world class customer service, then we can offer you:
A great working environmentA strong competitive remunerationOpportunity to grow and learn new skillsWe believe everyone has talent, something which comes natural to you. Your uniqueness is something which brings both excellence as well as energises you.
HOW TO APPLY
If this sounds like the perfect opportunity for you to really make this role your own, please hit the APPLY button, but do so before [15th May 2020]
Due to high volume of applicants, only selected candidates will be contacted following the closing date.**You must hold valid working rights to be considered for this role.

#LI-ANZ
                try {
                    window.mosaic.onMosaicApiReady(function() {
                        var zoneId = 'belowFullJobDescription';
                        var providers = window.mosaic.zonedProviders[zoneId];

                        if (providers) {
                            providers.filter(function(p) { return window.mosaic.lazyFns[p]; }).forEach(function(p) {
                                return window.mosaic.api.loadProvider(p);
                            });
                        }
                    });
                 } catch (e) {};
                "
"59",58,"Business Analyst","Analyst - Hospital & Performance Analytics","Docklands VIC","Medibank","None","None","30+ days ago","https://www.indeed.com/rc/clk?jk=2adaca73adf338f2&fccid=b7652dc7de6d908c&vjs=3","
                try {
                    window.mosaic.onMosaicApiReady(function() {
                        var zoneId = 'aboveFullJobDescription';
                        var providers = window.mosaic.zonedProviders[zoneId];

                        if (providers) {
                            providers.filter(function(p) { return window.mosaic.lazyFns[p]; }).forEach(function(p) {
                                return window.mosaic.api.loadProvider(p);
                            });
                        }
                    });
                 } catch (e) {};
                Date: 04-May-2020
Location:
DOCKLANDS, VIC, AU, 3008
Will you actively create a healthier future for tomorrow?At Medibank we’re encouraged to think big. We have a clear purpose to impact better health outcomes for our customers, patients and our community.We celebrate diversity of thought because we want to make better decisions for our customers. As we work towards our goal of better health for better lives, we value the knowledge and contribution of Aboriginal and Torres Strait Islanders. We are working hard to create an inclusive workplace and develop Indigenous careers.The Opportunity
As an Analyst in Hospital and Performance Analytics at Medibank, your key role is to support decision making in respect of Hospital Contracting. You will work closely with business groups to identify key reporting metrics and KPIs, design reports and dashboards with documentation of business rules and testing.The role monitors and analyses hospital benefit outlays and provides targeted recommendations, commentary and insights. You will forecast hospital claiming patterns; using predictive analytics to proactively build tools and insights.Key responsibilities will include:Working with business groups to identify key reporting metrics and KPIs and providing input into delivery through report prototyping, dashboards, documentation of business rules and validation of delivered reports.
Monitoring and analysing hospital performance in terms of benefit outlays, service delivery and providing targeted recommendations, commentary and insights.
Analysing provider profiles and providing advice as to contract initiatives.
Proactive and predictive analytics – building tools and insights to better forecast hospital claiming patterns.About You
Tertiary qualified in mathematics, informatics, economics, statistics, health, analytics or a similar related discipline. You can also demonstrate experience working within a mid-large corporate environment.
You have proven ability to analyse complex data and develop innovative, business-focused reporting and analysis. You are a strong communicator with the ability to influence at a senior stakeholder level and tell the story within the data.

Demonstrated experience using business intelligence tools to analyse trends and data and an understanding of SAS, SQL, R or Python programming languages is essential. Experience with dashboard development using Tableau would be beneficial but not necessary.
Previous experience in health, health insurance, general insurance, or finance sectors will be highly regarded.A career with usWith flexible working options, our people have choice in how and where they work. We’re also committed to supporting better accessibility for our customers and our people . If we call you to discuss this role, you’ll also get the opportunity to chat about any adjustments.We offer a range of great benefits such as subsidised private health insurance, rewards and discounts, and health and wellbeing initiatives.To start small and impact bigger.Job Segment: Data Analyst, Analytics, Informatics, SQL, Clinic, Data, Management, Technology, Healthcare
                try {
                    window.mosaic.onMosaicApiReady(function() {
                        var zoneId = 'belowFullJobDescription';
                        var providers = window.mosaic.zonedProviders[zoneId];

                        if (providers) {
                            providers.filter(function(p) { return window.mosaic.lazyFns[p]; }).forEach(function(p) {
                                return window.mosaic.api.loadProvider(p);
                            });
                        }
                    });
                 } catch (e) {};
                "
"60",59,"Business Analyst","Senior Digital Analyst","Melbourne VIC","Kmart","None","None","8 days ago","https://www.indeed.com/rc/clk?jk=3bc77befc2baa892&fccid=a8109ce9cc9fb03c&vjs=3","
                try {
                    window.mosaic.onMosaicApiReady(function() {
                        var zoneId = 'aboveFullJobDescription';
                        var providers = window.mosaic.zonedProviders[zoneId];

                        if (providers) {
                            providers.filter(function(p) { return window.mosaic.lazyFns[p]; }).forEach(function(p) {
                                return window.mosaic.api.loadProvider(p);
                            });
                        }
                    });
                 } catch (e) {};
                Work type: Permanent Full-timeLocation: VIC MetroCategories: Digital / eCommerceAbout Kmart

With more than 200 stores and employing over 34,000 people, Kmart is proud to be one of Australia and New Zealand’s largest and most successful retailers.

Serving the needs of Australian families is at the core of who we are as a business, that’s why we are driven to be the place customers rely on for low prices and making every day living brighter.

Culture

You’ll be joining a dynamic team with a fantastic culture where diversity is openly celebrated, and you’ll be challenged and supported to achieve personal and business goals. Expect a work environment that is highly collaborative, fast-paced, inclusive and progressive - with no two days the same! Our values – Think Customer, Take Care, Live Integrity, Grow Together and Reach Higher will resonate with you deeply and you’ll enjoy being part of a growing, iconic Australian business that has a fantastic culture that is non-hierarchical, diverse and inclusive.

What we’re looking for?

Reporting in to the Digital Insights Manager, we are seeking an experienced Senior Digital Specialist to deliver a roadmap of data initiatives that; identify efficiencies, unlock opportunities, and generate revenue for Kmart’s hugely popular e-commerce website. In this role you will be undertaking the following responsibilities;
Review large data sets & communicate insights back to the teams to make a tangible impact with your analysis
Perform exploratory analysis to uncover opportunities for customer experience optimisation and customer value deliver
Providing intelligent and value add analysis by leveraging techniques that may include;
complex business logic and conceptual design,
customer insights and segmentation,
propensity modelling,
control group creation/testing,
next best action analysis,
real time decisioning and ROI analysis
Create compelling, intuitive dashboards to enable the business with critical metrics, with a focus on data automation, anomaly detection, and actionable data visualisations.
About You

To be successful in securing this role, you will ideally possess the following skills and experience;
Bachelor's degree (ideally in) Quantitative field with coding ability preferred eg. Computer science, Engineering, Statistics or similar)
Prior experience in a ‘hands-on’ data science role
Strong SQL and Python programming skills to extract, manage large volumes of customer data and build both simple and complex optimisation models
Solid background, knowledge and capabilities in STEM (statistics, mathematics, computer science, informatics, engineering, information management), data analytics or quantitative research data analysis
Strong strategic retail experience, with the ability to think outside the box, apply business logic, and develop bespoke analytical solutions
Familiarity with data visualization tools (e.g. Microstrategy, PowerBI, Tableau, Quicksight, Qlik)
Experience with Big Data and Cloud technologies, particularly AWS (EMR, Redshift, S3, etc.)
Benefits

You will be afforded autonomy and accountability in your role and have access to development opportunities across both Kmart and the Wesfarmers Group, excellent remuneration, inclusion in company bonus scheme & access to Wesfarmers share plan (both for eligible team members), free parking and benefits program including a discount card for Kmart, Coles, Target and Officeworks.

At Kmart we aim to ensure our teams reflect the diversity of the communities in which we operate.

Candidates interested in this position should apply directly to this advertisement as we are not accepting applications from recruitment agencies.

As part of the recruitment process, Police Checks may be undertaken.

#LI-POST1
Advertised: 29 Apr 2020 AUS Eastern Standard TimeApplications close:
                try {
                    window.mosaic.onMosaicApiReady(function() {
                        var zoneId = 'belowFullJobDescription';
                        var providers = window.mosaic.zonedProviders[zoneId];

                        if (providers) {
                            providers.filter(function(p) { return window.mosaic.lazyFns[p]; }).forEach(function(p) {
                                return window.mosaic.api.loadProvider(p);
                            });
                        }
                    });
                 } catch (e) {};
                "
"61",60,"Business Analyst","Technical Business Analyst","Melbourne VIC","Michael Page","$110,000 - $120,000 a year","None","30+ days ago","https://www.indeed.com/rc/clk?jk=3bd1c8541c0be542&fccid=77087bd1709a8148&vjs=3","
                try {
                    window.mosaic.onMosaicApiReady(function() {
                        var zoneId = 'aboveFullJobDescription';
                        var providers = window.mosaic.zonedProviders[zoneId];

                        if (providers) {
                            providers.filter(function(p) { return window.mosaic.lazyFns[p]; }).forEach(function(p) {
                                return window.mosaic.api.loadProvider(p);
                            });
                        }
                    });
                 } catch (e) {};
                Well-known Australian brand

Exciting analysis work

About Our Client
Leading Australian health Insurance company that boasts a brilliant culture.

Job Description
You will be responsible for creating Tableau and Power BI Reports from campaign data. The main duties of your role will include:

Visualising data within Salesforce CRM and CMS
Creating campaigns within Salesforce DMP
ETL using SQL
Creating reports within Power BI and Tableau
The Successful Applicant
Minimum of three years experience working with SQL
2 - 3 years of experience with Salesforce CRM, CMS and DMP
2 - 3 years of experience using Tableau or Power BI
Understanding of AWS
2 - 3 years of experience gathering requirements from senior stakeholders
What's on Offer
A 12 month Fixed Term Contract with a leading Australian brand as well as the opportunity to create reports that will be presented to C Level Executives

Contact:
Charlie Hess
                try {
                    window.mosaic.onMosaicApiReady(function() {
                        var zoneId = 'belowFullJobDescription';
                        var providers = window.mosaic.zonedProviders[zoneId];

                        if (providers) {
                            providers.filter(function(p) { return window.mosaic.lazyFns[p]; }).forEach(function(p) {
                                return window.mosaic.api.loadProvider(p);
                            });
                        }
                    });
                 } catch (e) {};
                "
"62",61,"Business Analyst","Business Analyst (Sitecore)","Melbourne VIC","Mindcloud Consultants","None","None","30+ days ago","https://www.indeed.com/rc/clk?jk=0a4a4657cafba2fd&fccid=0415b460faf42869&vjs=3","
                try {
                    window.mosaic.onMosaicApiReady(function() {
                        var zoneId = 'aboveFullJobDescription';
                        var providers = window.mosaic.zonedProviders[zoneId];

                        if (providers) {
                            providers.filter(function(p) { return window.mosaic.lazyFns[p]; }).forEach(function(p) {
                                return window.mosaic.api.loadProvider(p);
                            });
                        }
                    });
                 } catch (e) {};
                Our client is one of the leading IT consulting company and based in Melbourne. Due to recent growth in their business, they are looking for a Business Analyst with strong Sitecore experience.Responsibilities:-
Responsible for business process analysis and assessments, requirements gathering and solution definition throughout the systems development lifecycle.
Develop processes and methodologies to manage requirements for all stakeholders.
Anticipates, quantifies and resolves problems and issues with requirements
Identify and implement continuous improvement opportunities
Skills and Experience Required:
Tertiary qualified or relevant technical qualifications;
3+ Years experience as a Business Analyst with digital projects, CMS deployment;
At least 1-2 year's experience in Sitecore CMS (Mandatory);
Excellent agile delivery experience;
Experience in IT enterprise environment is desirable;
Excellent communication and interpersonal skills with good time management skills;
Must be able to follow work instructions and be meticulous and detailed oriented person
If you interested, Please sent your CV in MS word format with notice period. Candidate with valid Australian work rights only will be considered for this role. Only shortlisted candidates will be contacted for the further interview. We take this opportunity to thank everyone who spent their valuable time to apply.

Job summary
Location:Melbourne, Australia, Oceania
Career Level: Senior (5+ years of experience)
Education: Bachelor's Degree
Job type:Full time
Positions:1
Salary: Negotiable
                try {
                    window.mosaic.onMosaicApiReady(function() {
                        var zoneId = 'belowFullJobDescription';
                        var providers = window.mosaic.zonedProviders[zoneId];

                        if (providers) {
                            providers.filter(function(p) { return window.mosaic.lazyFns[p]; }).forEach(function(p) {
                                return window.mosaic.api.loadProvider(p);
                            });
                        }
                    });
                 } catch (e) {};
                "
"63",62,"Business Analyst","Analyst - Sustainability Solutions Australia","Melbourne VIC","ENGIE Impact","None","None","30+ days ago","https://www.indeed.com/rc/clk?jk=1c9486339d403ed6&fccid=6ae3fd9d9bc6f5c6&vjs=3","
                try {
                    window.mosaic.onMosaicApiReady(function() {
                        var zoneId = 'aboveFullJobDescription';
                        var providers = window.mosaic.zonedProviders[zoneId];

                        if (providers) {
                            providers.filter(function(p) { return window.mosaic.lazyFns[p]; }).forEach(function(p) {
                                return window.mosaic.api.loadProvider(p);
                            });
                        }
                    });
                 } catch (e) {};
                ANALYST
S ustainability Solutions – AustraliaENGIE Impact delivers sustainability solutions and services to corporations, cities and governments across the globe. Comprised of existing and proven ENGIE Group businesses, ENGIE Impact brings together a wide range of strategic and technical capabilities, to provide a comprehensive offer to support clients in tackling their complex sustainability challenges from strategy to execution . Why join us ?With 18 offices worldwide and headquarters in New York City, ENGIE Impact today has a portfolio of 1,000 clients, including 25% of the Fortune 500 Companies, across more than 1,000,000 sites. Uniting ENGIE Insight, Ecova UK, Red Engineering and the Advisory and Advanced Analytics division of Tractebel under a common umbrella, ENGIE Impact was created to engage with executives and organizational leaders to set tailored strategies and specific roadmaps to achieve their sustainability and zero-carbon objectives, across energy, water, waste and more, globally.Ready to act Right Now, for Tomorrow?Job Description
To support efficiently the expansion of ENGIE Impact in Australia and bring the highest standard of consulting services to ENGIE Impact’s clients. We are looking for an:Analyst
As an Analyst, you are part of a transversal team of Consultants and Analysts and are involved in projects from different expertise, sectors and clients.
You are involved in one client project at a time (few exceptions) and are encouraged to participate actively in various internal projects. You actively participate to the reputation of ENGIE Impact by your personal involvement in the projects.
Your role has to be performed in full compliance with the ENGIE Impact’s standards in terms of Quality / Safety / Legal / Ethics.You will be more particularly in charge of:
Participate actively to business and organization development
Contribute to the realization of proposals
Support content development, asset creation, and business development efforts
Provide advisory services leveraging ENGIE Impact’s methods, tools, and assets to design and deliver outcome
Develop and provide technical expertise as required
Collect and structure data/information from various sources
Perform ad-hoc research
Produce convincing analyses and visualization at slide level on markets/industries, clients and competitors to gain insightsQualifications
Qualifications - Do you tick all the boxes?
We are looking for talented and motivated people to create the future of sustainability transition . Join a rewarding and flexible work environment that encourages innovation and creativity and help us meet the energy challenges of today and tomorrow.
You have bachelor degree or/and master’s degree from high-ranked Business school or Engineering School
You have between 0 and 2-year experience in consulting or energy sector
You are passionate about environmental challenged and eager to develop and share your knowledge in sustainable energy solutions as you are familiar with innovative approaches in this field
You demonstrate strong advisory skills: analytical mindset to identify client issues, creativity to lay out a set of assumptions to build adapted solutions, capacity to translate strategy vision into concrete actions
You have Business Strategy skills (Business case modelling, Business model, Financial Analysis)
You have data management skills: Data analysis, Data-driven sustainability strategyJob
: Audit / Risks / Consulting
Primary Location
: Oceania-Australia-Victoria-Melbourne
Organization
: APAC
Schedule
: Full-time
Nature of Responsibility
: Professional / First Line team leader
Job Posting
: Mar 24, 2020, 7:21:23 AM
                try {
                    window.mosaic.onMosaicApiReady(function() {
                        var zoneId = 'belowFullJobDescription';
                        var providers = window.mosaic.zonedProviders[zoneId];

                        if (providers) {
                            providers.filter(function(p) { return window.mosaic.lazyFns[p]; }).forEach(function(p) {
                                return window.mosaic.api.loadProvider(p);
                            });
                        }
                    });
                 } catch (e) {};
                "
"64",63,"Business Analyst","Business Analyst â€“ PEGA","Melbourne VIC","Adaps","None","None","30+ days ago","https://www.indeed.com/rc/clk?jk=f69434b0588df776&fccid=ad7d1489eb2ecef6&vjs=3","
                try {
                    window.mosaic.onMosaicApiReady(function() {
                        var zoneId = 'aboveFullJobDescription';
                        var providers = window.mosaic.zonedProviders[zoneId];

                        if (providers) {
                            providers.filter(function(p) { return window.mosaic.lazyFns[p]; }).forEach(function(p) {
                                return window.mosaic.api.loadProvider(p);
                            });
                        }
                    });
                 } catch (e) {};
                Business Analyst – PEGA
Permanent role in Melbourne
The Position
The Business Analyst provides strategic business analysis services to business partners. The focus of this position is to work closely with the business units to gain in-depth understanding of customer’s business strategy, processes, services, roadmap and the context in which the business operates. This role will be key to understanding the documenting capabilities needed to address business challenges.
Responsibilities:
Must to have Pega Application Experience and good to have CPBA certification
Demonstrate up-to-date expertise in Information Systems and apply this to the development, execution and improvement of action plans by providing advice and guidance to others in the application of information and best practices
Support and align efforts to meet customer and business needs
Manage customer relationships and expectations by developing a communication process to keep others up-to-date on project results
Stay current with customer needs and strategies; utilizing formal and informal written communication methods (for example, emails, newsletters, PowerPoint presentations, executive updates, task lists, updates) to communicate updates and findings; and facilitating project meetings and presentations to all types of diverse audiences (for example, senior management, Customers, technical staff)
Lead or participate in multiple projects by completing and updating project documentation; managing project scope; adjusting schedules when necessary; determining daily priorities; ensuring efficient and on-time delivery of project tasks and milestones; following proper escalation paths; and managing customer and supplier relationships
Provide leadership to team members and peers by collaborating with others; articulating ideas and viewpoints to senior management, peers and others; identifying and initiating projects; managing resources; driving the resolution of issues; and holding self and team accountable for results
Provide project level analysis – producing required project analysis documentation (business requirements, scope matrix, use cases, sequence diagrams, future state proposals, UAT plan)
Collaborate closely with developers to implement the requirements, provide necessary guidance to testers during QA process
Identify improvement opportunities (proactive and reactive)
Elicit and clearly document business and systems requirements
Assess business process and system inefficiencies
Identify ways to increase adoption and customer satisfaction
Demonstrated fluency in business processes and process differentiation
Ability to analyze and synthesize business requirements, including recognizing patterns and conceptualizing processes
Serve as a liaison between Operations and IT to assist or gather business requirements needed for system modifications, enhancement and implementations
Assist with and test implementation for all payer and vendor relationships to ensure data transfer collection, quality and reporting relationships are working appropriately down to the market level to ensure market team member and provider experience is appropriate
Create and maintain issue logs, meeting minutes, meeting schedules, project summaries and updates.
Create and maintain project schedules by developing project plans and specifications, estimating time and resources, monitoring milestone completion, tracking all phases of the project lifecycle, providing timely reporting of issues that impact project progress, coordinating actions and resolving conflicts
How to apply:
Please apply calling Rams on 03 8506 6524 for further details. Applications closes based on the volume of applications received. Only short-listed candidates will be contacted.
Adaps is an equal opportunity employer that actively embraces diversity in its workforce through accurate community representation of gender, culture; thought and work arrangements.
                try {
                    window.mosaic.onMosaicApiReady(function() {
                        var zoneId = 'belowFullJobDescription';
                        var providers = window.mosaic.zonedProviders[zoneId];

                        if (providers) {
                            providers.filter(function(p) { return window.mosaic.lazyFns[p]; }).forEach(function(p) {
                                return window.mosaic.api.loadProvider(p);
                            });
                        }
                    });
                 } catch (e) {};
                "
"65",64,"Business Analyst","Salesforce Analyst","South Melbourne VIC","Luxury Escapes","None","None","30+ days ago","https://www.indeed.com/rc/clk?jk=2f8a0347ad13acda&fccid=cede575025afad6a&vjs=3","
                try {
                    window.mosaic.onMosaicApiReady(function() {
                        var zoneId = 'aboveFullJobDescription';
                        var providers = window.mosaic.zonedProviders[zoneId];

                        if (providers) {
                            providers.filter(function(p) { return window.mosaic.lazyFns[p]; }).forEach(function(p) {
                                return window.mosaic.api.loadProvider(p);
                            });
                        }
                    });
                 } catch (e) {};
                Luxury Escapes, winner of the Australian Travel Awards, 'Employer of Choice 2018', is one of the world's fastest growing travel businesses, reaching up to 3.2 million unique travellers each month with exclusive limited time offers at 'insider' prices.
We are now looking for a Salesforce Analyst who will be responsible for supporting the design and implementation of solutions in the Luxury Escapes Salesforce platform.
Managing and supporting the administrative side of Salesforce, you'll excel at being the point of contact to all internal stakeholders for Salesforce continuous improvement. and issue resolution.
What you'll do:
Work with our Product and Engineering Teams to support the design and implementation of solutions in Salesforce and other services as needed
Be the “face’ of Salesforce to the business
Be responsible for and maintain the integrity of Salesforce data
Manage Salesforce user accounts and other Salesforce administrative duties
Provide full transparency on work in progress and completed through Project tracking (Jira/Card wall etc)
Keep up to date with Salesforce functionality and services and collaborate with Product and Engineering teams to represent Salesforce’s capacity to solve business problems
Be responsible for managing and responding to Salesforce cases and related SLAs in a timely manner
What we are looking for:
Experience as a Salesforce administrator or consultant for a complex organisation
The ability to demonstrate a broad knowledge of Salesforce product offerings & solutions
Skilled at being able to gather detailed requirements and provide appropriate translation to applications
Strong stakeholder engagement and presentation skills
The ability to “think and do” in an often ambiguous environment
Be outcome driven
What's in it for you?
Competitive remuneration package
First class health and well-being program including onsite massages, yoga, meditation, corporate gym memberships and daily breakfast
Fun & flexible working environment - work hard and play hard with 24/7 table tennis, Friday afternoon onsite gatherings (wine included!) and monthly celebration & recognition programs
Discounted travel, birthday leave and a whole lot more!
If this sounds like you and you feel you have the skills and experience to meet the requirements of the role, please apply online today!
                try {
                    window.mosaic.onMosaicApiReady(function() {
                        var zoneId = 'belowFullJobDescription';
                        var providers = window.mosaic.zonedProviders[zoneId];

                        if (providers) {
                            providers.filter(function(p) { return window.mosaic.lazyFns[p]; }).forEach(function(p) {
                                return window.mosaic.api.loadProvider(p);
                            });
                        }
                    });
                 } catch (e) {};
                "
"66",65,"Business Analyst","Business Analyst / Process Analyst","Melbourne City Centre VIC","Appetency Recruitment Services","None","None","30+ days ago","https://www.indeed.com/rc/clk?jk=902cab2004a81219&fccid=9b1b0d5d0a964d32&vjs=3","
                try {
                    window.mosaic.onMosaicApiReady(function() {
                        var zoneId = 'aboveFullJobDescription';
                        var providers = window.mosaic.zonedProviders[zoneId];

                        if (providers) {
                            providers.filter(function(p) { return window.mosaic.lazyFns[p]; }).forEach(function(p) {
                                return window.mosaic.api.loadProvider(p);
                            });
                        }
                    });
                 } catch (e) {};
                Job Description

An experienced Business or Process Analysts with strong analysis or process skills coupled with the ability to build relationships and facilitate discussion on process improvement with various levels within an organisation and enable change, you take pride in delivering strong outcomes and act as a bridge between business and IT. We are currently have several opportunities for consultants with great communication and stakeholder skills, with desirable experience in Training and Agile: Successful candidates will be able to demonstrate previous or current experience in Business requirements gathering or Process Design Capability Use case preparation Information management Useability design Workshop facilitation Desired Skills & Experience: Degree qualified in Computer Science, Information Systems/Technology or similar Training delivery experience Ability to work in a collaborative team environment, including working with and managing remote teams Excellent written and verbal communication skills Consultative approach Good stakeholder management Outcome based and results focused Current or previous consulting would be an advantage Qualifications in Agile, BABOK, ITIL, PMBOK or TOGAF highly regarded Experience in QA activities and required unit, system and integration testing would be an advantage / bonus.
                try {
                    window.mosaic.onMosaicApiReady(function() {
                        var zoneId = 'belowFullJobDescription';
                        var providers = window.mosaic.zonedProviders[zoneId];

                        if (providers) {
                            providers.filter(function(p) { return window.mosaic.lazyFns[p]; }).forEach(function(p) {
                                return window.mosaic.api.loadProvider(p);
                            });
                        }
                    });
                 } catch (e) {};
                "
"67",66,"Business Analyst","Web Marketing - SEO/SEM/Social Media","Port Melbourne VIC","Daronet Australia","None","None","Just posted","https://www.indeed.com/rc/clk?jk=63ad8535f440286a&fccid=c2de84a9b64dc40e&vjs=3","
                try {
                    window.mosaic.onMosaicApiReady(function() {
                        var zoneId = 'aboveFullJobDescription';
                        var providers = window.mosaic.zonedProviders[zoneId];

                        if (providers) {
                            providers.filter(function(p) { return window.mosaic.lazyFns[p]; }).forEach(function(p) {
                                return window.mosaic.api.loadProvider(p);
                            });
                        }
                    });
                 } catch (e) {};
                Leading Digital Agency
Exciting New Projects using latest Technology
•Port Melbourne location – short tram ride from CBD •Comfortable spacious offices with parking
Work and learn from a global agency offices in USA, Europe &amp; Israel An exciting opportunity has been created for an experienced web-marketing specialist who understands SEO/SEM/Social Media. This individual must have the passion, initiative and a ‘can-do approach’, the ability to confidently liaise with clients where necessary and most importantly love what your doing! You will be working in the most innovative and expert stage with people that understand the internet know how business and have over 11 years of experience. We encourage our staff to keep updated with the latest knowledge in the industry and believe in the development and growth of all of our staff members.
The successful candidate must have;

•Previous experience in a marketing oriented Web Marketing/Analyst role 4+ years •Proven success in managing and executing SEO strategy; including an understanding current SEO best practises
Solid experience in all major digital marketing mediums; SEM, SEO, social media, email marketingPrevious experience in a similar role or working with technologies/media listed above If you want to start a career with one of Melbourne’s leading agencies in a role that will provide career development and a chance to be part of a great team – apply today.
                try {
                    window.mosaic.onMosaicApiReady(function() {
                        var zoneId = 'belowFullJobDescription';
                        var providers = window.mosaic.zonedProviders[zoneId];

                        if (providers) {
                            providers.filter(function(p) { return window.mosaic.lazyFns[p]; }).forEach(function(p) {
                                return window.mosaic.api.loadProvider(p);
                            });
                        }
                    });
                 } catch (e) {};
                "
